station_id,station_name,timestamp,latitude,longitude,elevation_m,temperature_c,pressure_hpa,relative_humidity_pct,pressure_type,is_injected,scenario_id,scenario_type,target_class,fault_type,injection_magnitude,missing_t,missing_p,missing_rh
INI0000VIDD,SAFDARJUNG,2023-01-01 00:00:00,28.5845,77.2058,214.9,7.5,1019.9,97.0,sea_level_pressure,False,BASE_NORMAL,normal_observation,normal,none,0.0,False,False,False
INI0000VIJO,JODHPUR,2023-01-01 00:00:00,26.2511,73.0489,218.5,8.0,1020.3,89.0,sea_level_pressure,False,BASE_NORMAL,normal_observation,normal,none,0.0,False,False,False
INM00042111,DEHRADUN,2023-01-01 00:00:00,30.3167,78.0333,682.0,8.5,1017.9,99.0,sea_level_pressure,False,BASE_NORMAL,normal_observation,normal,none,0.0,False,False,False
INI0000VIDD,SAFDARJUNG,2023-01-01 03:00:00,28.5845,77.2058,214.9,9.8,1021.9,97.0,sea_level_pressure,False,BASE_NORMAL,normal_observation,normal,none,0.0,False,False,False
INI0000VIJO,JODHPUR,2023-01-01 03:00:00,26.2511,73.0489,218.5,9.0,1021.8,69.0,sea_level_pressure,False,BASE_NORMAL,normal_observation,normal,none,0.0,False,False,False
INM00042111,DEHRADUN,2023-01-01 03:00:00,30.3167,78.0333,682.0,8.4,1020.5,100.0,sea_level_pressure,False,BASE_NORMAL,normal_observation,normal,none,0.0,False,False,False
INI0000VIDD,SAFDARJUNG,2023-01-01 06:00:00,28.5845,77.2058,214.9,17.6,1022.3,65.0,sea_level_pressure,False,BASE_NORMAL,normal_observation,normal,none,0.0,False,False,False
INI0000VIJO,JODHPUR,2023-01-01 06:00:00,26.2511,73.0489,218.5,18.8,1022.0,41.0,sea_level_pressure,False,BASE_NORMAL,normal_observation,normal,none,0.0,False,False,False
INM00042111,DEHRADUN,2023-01-01 06:00:00,30.3167,78.0333,682.0,14.7,1019.8,70.0,sea_level_pressure,False,BASE_NORMAL,normal_observation,normal,none,0.0,False,False,False
INI0000VIDD,SAFDARJUNG,2023-01-01 09:00:00,28.5845,77.2058,214.9,20.6,1019.0,50.0,sea_level_pressure,False,BASE_NORMAL,normal_observation,normal,none,0.0,False,False,False
INI0000VIJO,JODHPUR,2023-01-01 09:00:00,26.2511,73.0489,218.5,23.2,1018.6,28.0,sea_level_pressure,False,BASE_NORMAL,normal_observation,normal,none,0.0,False,False,False
